,file,source company,authors,company symbols,company names,trade call,target price,possible sources,,
0,JPM_022014_14225.pdf,['jpmorgan'],"['deepika.mundra', 'sumit.x.kishore', 'boris.cw.kan']","['BHEL', 'KEC', 'ABB']","['Apar Industries Ltd.', 'Triveni Turbine Ltd.', 'Bilpower Ltd.', 'Finolex Cables Ltd.', 'Voltamp Transformers Ltd.', 'Suzlon Energy Ltd.', 'Siemens Ltd.', 'Diamond Power Infrastructure Ltd.', 'Schneider Electric Infrastructure Ltd.', 'Universal Cables Ltd.']",Sell,20,"['jpmorgan', 'Company data.']",,
1,Deep Industries Ltd - Award of Hiring of Integrated Drilling & Completion Services.pdf,['deepindustrtes'],['info'],[],[],,,['deepindustrtes'],,
2,Industry-Map-of-the-Precious-Metals-Sector.pdf,['Others'],['john'],[],[],,,[],,
3,Ambit India Access_Pre-Budget conference call with Ashok Wadhwa_03Jul2014.pdf,['ambitcapital'],[None],[],[],,,"['ambitpte', 'ambitcapital', 'panmure']",,
4,ThinkSoft-Corporate-Presentation-Mar-12.pdf,['thinksoftglobal'],"['dpingle', 'vaidyanathan.n']",['ICICI'],[],,,"['christensenir', 'thinksoftglobal', 'NASSCOM Report']",,
5,"[Kotak] GlaxoSmithKline Consumer, February 9, 2016.pdf",['kotak'],"['anand.shah', 'kotak.research', 'abhas.gupta', 'rohit.chordia']",[],[],Buy,12,"['kotak', 'Kotak Institutional Equities']",,
6,JMFL– TCI EXPRESS -errclub- An Express Delivery Company.pdf,['jmfl'],"['chandragopal.choudhary', 'achal.lohade', 'ruchir.jhunjhunwala', 'sunny.shah', 'jmfinancial.research']",['TCI'],[],Buy,405,"['jmfl', 'JM Financial']",,
7,Hotline 93.pdf,['chta'],"['enquiries', 'mail']",[],[],,,"['supplychaingroups', 'chta']",,
8,BHFC_Q1FY17ResultUpdate_7 Aug 16.pdf,['jmfl'],['shyam.sriram'],[],[],Buy,7860,"['jmfl', 'JM Financial. Note']",,
9,GST_-_PROPITIOUS_WINDS_OF_CHANGE-DEC-15-EDEL.pdf,['edelweissfin'],"['nilesh.aiya', 'ankit.dangayach', 'nirav.sheth', 'manoj.bahety']","['ACC', 'PVR', 'IRB']",[],Sell,250,"['edelweissfin', 'Edelweiss research']",,
10,MaricoKayaEnt.pdf,['motilaloswal'],"['info', 'Ravi.Shenoy']",[],[],Buy,1020,['motilaloswal'],,
11,business_valuation_methods.pdf,['Others'],['NA'],['ACC'],[],,,[],,
12,GRUH_Profile_June_2014.pdf,['Others'],['sn0777'],"['LT', 'NH', 'HDFC', 'GRUH']",[],Sell,8,[],,
13,Copy of 10 LUXE Cost Sheet.pdf,['Others'],['NA'],[],[],,,[],,
14,ICICI Direct- Company Update – Bharat Electronics (Buy) errclub Reiterate.pdf,['icicisecurities'],"['chirag.shah', 'pankaj.pandey', 'sagar.gandhi', 'research']","['ICICI', 'BEL']",[],Buy,1560,"['icicidirect', 'icicisecurities', 'ICICIdirect.com Research']",,
15,Finolex%20Industries%20Presentation.pdf,['Others'],['admin'],[],[],,,[],,
16,INXW-20170203-MOSL-RU-PG008.pdf,['motilaloswal'],['Varun.kumar'],['INXW IN'],[],Buy,175,"['motilaloswal', 'MOSL']",,
17,issue-nov_dec0787[1].pdf,['skretting'],"['arjen.roem', 'zuridah']","['AQUA', 'MIC']",[],Sell,2007,"['aquaasiapac', 'skretting']",,
18,Timken India Company Update.pdf,['sparkcapital'],"['rseshan', 'mukesh']",['TMKN IN'],[],,,['sparkcapital'],,
19,201390164-Prannoy-Roy-s-email-to-Gurumurthy-regarding-Chidambaram-NDTV-s-Rs-5000-crores-money-laundering-scam.pdf,['xxxxxxxxxx'],"['<xxxx', '<xxxxxxx']",['NDTV'],[],,,"['xxxxxxxxxx', 'xxxx']",,
20,GC14-4811_2.pdf,['PBS.'],['Rosivaldo Novaes'],[],[],Buy,5,['PBS.'],,
21,V-guard 1QFY17 Review.pdf,[' 26'],['1612'],"['VGRD IN', 'TOTAL']",[],Buy,22,[' 26'],,
22,visitor_brou.pdf,['sitaindia'],"['kapilp', 'info', 'bom.mice']","['APEX', 'ABB', 'MDA IN', 'TCS', 'MIC', 'ACE']",[],,,"['hf-india', 'sitaindia']",,
23,House of debt.pdf,['credit-suisse'],"['ashish.gupta', 'prashant.kumar.3']","['CCCL', 'ICICI', 'PNB', 'DCM', 'GTL', 'IOB', 'SCI', 'IDFC', 'KSK', 'MTNL', 'CESC', 'TTML', 'HDFC', 'NTPC', 'TI', 'SPIC']","['Entegra Ltd.', 'United Spirits Ltd.', 'Sterling Biotech Ltd.', 'Adani Power Ltd.', 'Jet Airways (India) Ltd.', 'Kesoram Industries Ltd.', 'Gammon Infrastructure Projects Ltd.', 'Tata Steel Ltd.', 'Indian Overseas Bank', 'Aurobindo Pharma Ltd.', 'GTL Infrastructure Ltd.', 'Kingfisher Airlines Ltd.', 'Mahanagar Telephone Nigam Ltd.', 'Moser Baer India Ltd.', 'Tata Teleservices (Maharashtra) Ltd.', 'Electrosteel Castings Ltd.', 'Reliance Infrastructure Ltd.', 'Mercator Ltd.', 'Adhunik Metaliks Ltd.', 'United Bank of India', 'Lanco Infratech Ltd.', 'Garden Silk Mills Ltd.', 'Jubilant Life Sciences Ltd.', 'Welspun Corp Ltd.', 'Asahi India Glass Ltd.', 'West Coast Paper Mills Ltd.', 'Tamil Nadu Newsprint & Papers Ltd.', 'Punj Lloyd Ltd.', 'Unitech Ltd.', 'Usha Martin Ltd.', 'Alok Industries Ltd.', 'Electrotherm (India) Ltd.', 'Murli Industries Ltd.', 'Jaiprakash Power Ventures Ltd.', 'Reliance Communications Ltd.', 'State Bank Of India', 'Sakthi Sugars Ltd.', 'Electrosteel Steels Ltd.', 'Tata Communications Ltd.', 'Jaiprakash Associates Ltd.', 'United Breweries (Holdings) Ltd.', 'Ramsarup Industries Ltd.', 'Ankur Drugs & Pharma Ltd.', 'Jain Irrigation Systems Ltd.', 'GTL Ltd.', 'Visa Steel Ltd.', '3I Infotech Ltd.', 'Shree Renuka Sugars Ltd.', 'Punjab National Bank', 'Jindal Stainless Ltd.', 'Suzlon Energy Ltd.', 'Mukand Ltd.']",Sell,690,"['credit-suisse', 'Credit Suisse']",,
24,JP+Morgan-+Phoenix+Mills+-+Annuity+income+could+grow+4.pdf,['jpmorgan'],"['gunjan.x.prithyani', 'Quant_Strategy', 'saurabh.s.kumar']",[],['Phoenix Mills Ltd.'],Sell,11,"['jpmorgan', 'Bloomberg']",,
